봄이 되면 꼭 떠오르는 장소가 있나요? 거기서 무엇을 했나요?,
벚꽃을 마지막으로 본 건 언제였고 누구와 함께였나요?,
봄에 누군가와 함께한 기억 중 가장 행복했던 순간은?,
봄바람을 느끼며 걷던 기억을 알려줄 수 있나요?,
봄 향기라고 하면 어떤 장면이 떠오르나요?,
봄 소풍 혹은 나들이에서 있었던 특별한 일은?,
봄에 들었던 추억이 묻어 있는 곡은 뭔가요?,
어린 시절 물놀이하거나 계곡에 간 기억이 있나요?,
여름에 친구 혹은 가족과 밤늦게까지 놀았던 기억이 있나요?,
폭염 속에서 고생했던 경험이 있다면?,
여름밤에 들었던 잊을 수 없는 대화가 있나요?,
여름휴가 중 가장 기억에 남았던 사진을 설명해 주실 수 있나요?,
한여름에 먹었던 최고의 음식은?,
가을 하면 떠오르는 풍경이 있나요?,
단풍을 보며 걸었던 기억이 있나요?,
가을에 유독 외로웠던 때가 있었나요?,
쌀쌀한 바람에 누군가가 그리워졌던 순간은?,
가을에 쓴 편지나 일기가 있나요? 저에게 들려주세요.,
독서의 계절에서 기억에 남는 책이 있나요? 그 책은 어떻게 접했나요?,
가을 노래 중 과거를 떠올리게 하는 곡이 있다면? 어떤 과거인가요?,
"가을 밤, 혼자 걷다가 생각이 많아졌던 적이 있나요?",
첫눈이 왔을 때 특별한 일이 있었나요?,
겨울에 가장 기억에 남는 선물은?,
눈이 내리면 가장 기억에 남는 추억이 무엇인가요?,
추운 날씨에도 따뜻했던 기억이 있다면?,
아이들이 처음 ‘엄마(아빠)’라고 불렀을 때 기억나세요? 어떠셨나요?,
부모님과 함께한 마지막 여행이나 외출은 언제였나요?,
가장 마음 깊이 남아 있는 가족과의 추억은?,
배우자(혹은 연인)와 처음 진지한 대화를 나눴던 때는?,
가장 오랜 친구와 마지막으로 만난 건 언제였나요?,
손주가 처음 태어났을 때 어떤 생각이 들었나요?,
누군가와 크게 화해하거나 용서했던 기억이 있나요?,
지금까지 살았던 집들 중 가장 애착이 갔던 집은?,
이사할 때 가장 감정이 북받쳤던 순간은 언제였나요?,
마당이나 발코니에서 기억에 남는 풍경이 있나요?,
매일 아침(또는 저녁)에 꼭 하던 루틴이 있었나요?,
아끼던 물건 하나가 망가졌을 때의 기억은?,
처음 해외여행을 떠났던 기억이 나시나요?,
혼자 떠났던 가장 인상 깊은 외출이나 여행은?,
차 안에서 흘러나오던 음악과 함께 기억에 남는 드라이브는?,
특정 계절이 되면 떠오르는 여행지가 있나요?,
내 인생에서 가장 큰 변화는 언제였나요?,
"어떤 시절에 “아, 지금이 참 좋다”라고 느꼈나요?", 吏湲덉씠 李?醫뗫떎?앸씪怨??먭펷?섏슂?
예상치 못하게 눈물이 났던 순간은 언제였나요?,
지나고 나서야 그 소중함을 깨달았던 사람이나 순간이 있나요?,
처음 ‘나이 든다’고 느낀 때는 언제였나요?,
가장 후회 없이 결정했던 일이 있다면?,
집 안에 오래도록 두고 있는 물건에는 어떤 사연이 있나요?,
젊었을 때 좋아했던 음식이나 장소 중 지금도 여전히 좋아하는 것은?,
혼자 있을 때 가장 많이 떠오르는 장면은?,
지금도 꿈에서 자주 나오는 예전의 모습이나 상황이 있다면?,
가족끼리 모이면 꼭 먹는 음식이 있나요?,
명절 때 가장 기다려졌던 음식은 무엇이었나요?,
자녀에게 처음 만들어준 음식은 무엇이었나요?,
집밥이 유난히 그리웠던 시절이 있었나요?,
여행 중에 먹은 음식 중 다시 먹고 싶은 게 있나요?,
비 오는 날 꼭 생각나는 음식이 있다면?,
슬퍼하며 먹었던 음식 중 기억에 남는 건?,
기쁜 날 스스로에게 선물처럼 사 먹는 음식은?,
누군가에게 대접했는데 특히 반응이 좋았던 음식은?,
고생 끝에 먹었던 음식 중 가장 맛있었던 건?,
냄새만 맡아도 어린 시절이 떠오르는 음식은?,
"배고파서 먹은 게 아니라, 위로받고 싶어서 먹은 음식이 있나요?",
예전엔 싫어했지만 나이 들어 좋아하게 된 음식이 있다면?,
젊었을 때에 비해 입맛이 달라졌다고 느끼는 순간은?,
한때 푹 빠져 자주 먹었지만 지금은 잘 안 먹는 음식은?,
먹고는 싶지만 지금은 사라졌거나 구하기 어려운 음식이 있나요?,
특별히 음식에 대해 까다로웠던 시절이 있었나요?,
누군가에게 음식을 만들어주며 느꼈던 감정은?,
누군가가 해준 음식 중 지금도 잊히지 않는 한 끼가 있다면?,
음식을 나누며 싸웠던 혹은 화해했던 경험이 있나요?,
마지막 식사라면 무엇을 먹고 싶으신가요?,
부모님과 가장 깊은 대화를 나눴던 기억은 무엇인나요?,
"형제자매 중 가장 의지가 됐던 사람은 누구였고, 왜였나요?",
자녀와의 관계가 가장 가까웠던 시기는 언제였나요?,
가족끼리 함께했던 일 중 지금도 자주 떠오르는 장면은?,
가족과의 갈등이 오히려 관계를 더 돈독하게 만든 적이 있나요?,
"가장 오랫동안 이어져 온 친구가 있다면, 어떤 인연이었나요?",
친구와 크게 다투고 다시 화해했던 경험이 있다면?,
친구를 통해 삶에 변경점이 생긴 부분은 어떤 것인가요?,
지인 중 인간적으로 가장 존경했던 사람은 누구였나요?,
일하다가 감정이 북받쳐 눈물 흘렸던 적이 있었나요?,
퇴직한 뒤에 인간관계에서 느낀 가장 큰 변화는 무엇이었나요?,
처음으로 리더의 역할을 맡았을 때의 기억을 알려주세요.,
연락이 끊겼지만 아직도 안부가 궁금한 사람이 있나요? 어떤 사람인가요?,
오래된 친구나 인연을 우연히 다시 만났던 적이 있나요?,
어떤 이별이 가장 아프게 기억에 남아 있나요?,
다시 시간을 되돌릴 수 있다면 어떤 관계를 새로 맺고 싶나요?,
인간관계에서 가장 큰 상처를 받았던 경험은?,
누군가를 이해하게 되기까지 오랜 시간이 걸렸던 적이 있나요?,
상대를 미워하다가 어느 순간 연민으로 바뀌었던 일이 있었나요?,
고마움을 전하지 못해 지금도 마음에 남아 있는 사람이 있나요?,
누군가의 한마디가 오랫동안 힘이 되었던 적이 있나요?,
젊었을 땐 몰랐지만 나이 들어 알게 된 관계의 진실이 있다면?,
인간관계에서 ‘내가 달라져야 했다’고 느낀 순간은 언제였나요?,
누구와도 말 없이 함께 있는 시간이 편했던 적이 있나요?,
관계 속에서 ‘이 사람은 평생 내 편이구나’라고 느끼려면 무엇이 필요했나요?,
"교실 창밖을 멍하니 바라보며 상상하거나 꿈을 꾸었던 기억이 있다면, 어떤 것이었나요?",
학교 앞 문방구나 간식 가게에서의 소소한 추억이 있다면 어떤 것인가요?,
운동회나 소풍 등 큰 행사에서의 추억이 있나요?,
"당신을 꾸짖었지만 지금 생각하면 고마운 선생님이 계셨다면, 어떤 사건이었나요?", ?대뼡 ?ш굔?댁뿀?섏슂?
선생님이나 선배의 말 한마디가 당신의 마음을 크게 움직였던 순간이 있다면 어떤 말이었나요?,
당시엔 잘 몰랐지만 나이가 들어 다시 떠오르게 되는 선생님의 표정이나 말투가 있다면?,
"매일 붙어 다녔던 친구가 있었다면, 그 친구와의 일상 중 지금도 떠오르는 장면이 있나요?", 洹?移쒓뎄????쇱긽 以?吏湲덈룄 ?좎삤瑜대뒗 ?λ㈃???덈굹??
"누군가를 은근히 질투하거나 부러워했던 경험이 있다면, 그 감정은 어떤 계기였나요?",
"몰래 수업시간에 하던 일이 있다면, 그때 느꼈던 스릴이나 감정은 어땠나요?",
칠판에 올라가 문제를 풀거나 발표했던 기억 중 지금도 기억나는 상황은? (정혜교는 여기까지),
"공부가 어려워 좌절했을 때, 누군가의 도움이나 작은 위로가 큰 힘이 되었던 적이 있나요?",
"학교에 가기 싫었던 날, 어떤 생각을 했었나요?",
사춘기 시절에 가장 기억에 남는 에피소드가 무엇인가요?,
"어른이 되고 나서도 종종 떠오르는, 말하지 못한 사과나 고백이 있다면?", 留먰븯吏 紐삵븳 ?ш낵??怨좊갚???덈떎硫?
학창 시절의 어느 한순간 “이게 어른이 되는 거구나”라고 느꼈던 계기가 있었다면?,
방과 후 집으로 돌아가는 길에 유독 자주 생각했던 사람이나 일이 있었나요?,
"학교 가기 전 아침에 듣던 소리나 냄새, 반복되던 풍경 중 지금도 기억에 남는 것은?",
"학창시절 좋아했던 드라마, 영화, 노래 등 추억으로 남은게 무엇인가요?",
시험이나 수행평가보다 훨씬 더 큰 영향을 줬던 외부 사건이나 경험이 있다면?,
"학교에서 배운 것보다 더 오래 기억에 남은 삶의 교훈은 무엇이고, 언제 그것을 느꼈나요?",
학교 급식이나 도시락에 대한 기억이 있으신가요?,
시험을 잘 봤을 때나 상을 받았던 기억이 있나요?,
비 오는 날 학교에서 있었던 일 중 기억나는 일이 있나요?,
지금 생각해도 참 좋았던 학창 시절의 순간이 있다면 어떤 기억인가요?,
졸업식 날 기억나는 장면이 있으신가요? 어떤 기분이었나요?,
학교 다닐 때 꿈꾸던 직업이 무엇이었는지 기억나세요?,
학교에서 가장 좋아했던 과목은 무엇이었나요? 왜 그 과목이 좋았을까요?,
선생님께 칭찬받았던 기억이 있으신가요?,
음악 시간에 불렀던 노래 중 기억나는 것이 있나요?,
실수해서 망친 시험도 기억나세요?,
지금 다시 돌아간다면 가장 다시 해보고 싶은 공부는 무엇인가요?,
자녀들에게 공부에 대해 해주셨던 말씀이 있다면 무엇인가요?,
학교까지는 걸어서 다니셨나요? 길에 무슨 일이 자주 있었나요?,
방학 숙제 중에 가장 하기 싫었던 건 뭐였나요?,
눈 오는 날 학교에 가신 기억이 있나요?,
발표할 때 떨렸던 기억이 있으신가요?,
학업을 통해 가장 기억에 남는 교훈이나 깨달음이 있다면 무엇인가요?,
자녀들이 공부할 때 도와주신 경험이 있나요?,
교장 선생님 훈화 말씀 중 기억나는 게 있나요?,
공부하다가 꾸벅꾸벅 졸았던 기억도 있으신가요?,
쉬는 시간엔 주로 무엇을 하셨나요?,
야외에서 수업한 경험이 있으신가요?,
배운 것 중 지금까지 기억나는 지식이나 내용이 있나요?,
"어릴 적 자신은 조용한 편이었나요, 활발한 편이었나요?",
"혼자 노는 걸 좋아했나요, 친구들과 어울리는 걸 좋아했나요?",
"말을 잘 듣는 아이였나요, 고집이 센 아이였나요?",
동생이나 친구에게 양보를 잘했나요?,
규칙을 잘 지키는 편이었나요?,
친구와 다투고 먼저 사과하는 편이었나요?,
사춘기 때 자주 고민하던 주제가 있었나요?,
"친구가 많았던 편인가요, 몇 명과 깊이 사귀는 편이었나요?",
스트레스를 어떻게 푸셨나요?,
"주도적으로 나서는 걸 좋아하셨나요, 뒤에서 돕는 걸 좋아하셨나요?",
본인의 성격에 대해 스스로 가장 자랑스러운 점은 무엇인가요?,
누군가에게 위로를 받은 기억이 있으신가요?,
큰 결정을 앞두고 마음을 다잡는 방법이 있었나요?,
음악이나 자연 속에서 위로를 받은 적 있으신가요?,
누군가가 고민 상담을 많이 했던 사람인가요?,
심리적으로 안정감을 주는 사람이 누구였나요? 그 이유는 무엇인가요?,
삶에서 심리적으로 가장 큰 성장을 했다고 느낀 때는 언제인가요?,
남의 부탁을 잘 거절하지 못했던 적이 많으셨나요?,
인간관계에서 상처를 많이 받은 편이셨나요?,
감정 표현이 서툴렀던 사람인가요?,
자신의 가장 큰 장점은 무엇이라고 생각하시나요?,
자존감이 높았던 시기와 낮았던 시기는 언제였나요?,
지금의 자신이 과거의 자신에게 조언을 한다면 어떤 말을 해주고 싶나요?,
감정적으로 행동해 후회한 적이 있으신가요?,
스스로에게 “잘 버텼다”고 말해주고 싶은 시기는 언제인가요?,
성격이 원인이 되어 갈등을 겪은 적이 있으신가요?,
스스로를 칭찬하고 싶은 순간이 있었나요?,
어릴 적에 가장 좋아했던 놀이는 무엇이었나요?,
학교 끝나고 집에 오면 주로 무엇을 하며 쉬었나요?,
어릴 때 혼자 있을 때는 무엇을 하며 보냈나요?,
어린 시절 좋아했던 장난감이나 물건이 있었나요?,
형제자매와 함께 놀던 특별한 기억이 있나요?,
부모님과 함께 즐겼던 여가 활동이 있나요?,
어릴 때 자주 보던 만화책이나 잡지가 있었나요?,
라디오에서 듣던 즐겨 찾던 프로그램이 있었나요?,
하루 중 가장 좋아하는 시간은 언제였나요?,
학창시절에 즐겼던 취미는 무엇이었나요?,
좋아했던 가수나 노래가 기억나시나요?,
학교 행사나 축제에 참여한 기억이 있으신가요?,
책을 즐겨 읽으셨다면 어떤 책을 좋아하셨나요?,
친구들과 함께 놀던 장소는 주로 어디였나요?,
친구들과 여행을 다녀본 적이 있으신가요?,
직장생활을 하면서 어떤 취미를 즐기셨나요?,
자녀들과 함께 했던 놀이나 취미가 있었나요?,
배우자와 함께 즐긴 취미가 있었나요?,
동호회나 모임에 참여하신 적이 있으신가요?,
가장 기억에 남는 여행지는 어디인가요?,
친구들과 여행을 다녀본 적이 있으신가요?,
직장생활을 하면서 어떤 취미를 즐기셨나요?,
자녀들과 함께 했던 놀이나 취미가 있었나요?,
배우자와 함께 즐긴 취미가 있었나요?,
동호회나 모임에 참여하신 적이 있으신가요?,
가장 기억에 남는 여행지는 어디인가요?,
친구들과 함께 떠난 여행 중 가장 기억에 남는 곳은 어디였나요?,
여행을 갈 때 꼭 챙기던 물건이 있었나요?,
은퇴 후 새로 시작한 취미가 있었나요?,
어렸을 때 자주 듣던 노래나 음악은 무엇이었나요?,
가장 좋아했던 가수나 밴드가 있었나요?,
첫 번째로 가본 콘서트나 공연은 언제였나요?,
음악을 들으면서 특별한 추억을 떠올린 적이 있나요?,
음악을 통해 기쁨을 느꼈던 기억이 있나요?,
"감상할 때 음악의 가사에 신경을 썼나요, 아니면 선율을 더 즐기셨나요?",
악기를 다룰 수 있었던 적이 있으신가요?,
어떤 악기를 처음 배우고 싶었나요?,
미술관이나 갤러리를 자주 방문한 적이 있나요?,
사진을 찍으며 특별한 순간을 기록한 기억이 있나요?,
자주 듣던 라디오 프로그램이나 DJ가 있었나요?,
음악을 들으며 눈물을 흘린 적이 있나요?,
배우고 싶었던 악기가 있나요?,
어린 시절 그림 그리기를 즐기셨나요?,
그림을 그리면서 마음이 편안해졌던 경험이 있나요?,
예술 작품을 만들 때 영감을 받았던 순간이 있었나요?,
예술 작품을 만든 후 다른 사람에게 보여주었을 때의 반응은 어땠나요?,
자신이 만든 작품을 특별히 자랑스럽게 생각했던 순간이 있었나요?,
가족이나 친구들에게 그림을 그려 준 적이 있나요?,
공연 중 특별히 감동을 주었던 순간이 있나요?,
공연 후 집으로 돌아가면서 느꼈던 감정은 어땠나요?,
예술을 통해 기쁨을 느낀 순간이 있었다면 그것은 무엇이었나요?,
예술 작품을 만들며 행복감을 느꼈던 순간이 있나요?,
예술을 통해 자신의 이야기를 풀어내었던 기억이 있나요?,
예술 작품을 통해 중요한 메시지를 전달하고 싶었던 적이 있나요?,
좋아하는 화가나 예술가가 있었나요?,
자녀들과 함께 다녀왔던 가족여행 중 가장 기억나는 순간은 어떤 것이었나요?,
오랜만에 고향을 방문했을 때 떠오른 옛 추억은 무엇이었나요?,
처음으로 해외여행을 갔을 때 어떤 감정을 느끼셨는지 기억하시나요?,
젊은 시절 친구들과 다녀온 여행 중 잊을 수 없는 에피소드가 있나요?,
지금껏 다녀온 여행지 중 다시 꼭 가보고 싶은 곳이 있다면 그 이유는 무엇인가요?,
건강을 위해 다녀온 여행지에서 경험한 특별한 일이나 인상 깊었던 장소가 있나요?,
은퇴 이후 여유롭게 다녀온 여행에서 얻은 인생의 교훈이나 깨달음이 있나요?,
손주들과 함께 다녀온 여행에서 가장 행복했던 순간은 언제였나요?,
어릴 적 부모님과 함께 갔던 여행에서 아직도 생생히 기억나는 장면이 있나요?,
여행을 하면서 현지 사람들과의 교류 중 가장 따뜻했던 경험을 말씀해주세요.,
버킷리스트 여행지로 다녀온 곳 중 기대보다 더 좋았던 곳은 어디였나요?,
종교적인 성지나 순례지 여행에서 받았던 특별한 느낌이나 경험이 기억나시나요?,
혼자서 조용히 떠났던 여행에서 마음에 위로가 되었던 경험이 있으시다면 말씀해주세요.,
여행 중 특별한 자연경관을 보고 감탄했던 경험이 있다면 말씀해주시겠어요?,
젊은 시절 힘들게 떠났던 여행이 지금 와서 돌아보면 어떻게 기억에 남아 있나요?,
건강이나 체력이 좋지 않을 때 다녀온 여행에서 의외의 행복을 느꼈던 경험이 있으셨나요?,
여행을 가면서 꼭 챙기는 나만의 특별한 물건이나 습관이 있나요?,
최근 다녀온 여행 중 가장 인상 깊었던 문화체험이 있다면 무엇인가요?,
여행지에서 우연히 만난 사람이 나중에 소중한 인연이 된 적이 있나요?,
힘든 시기에 떠난 여행에서 위안을 얻었던 장소나 순간이 있으면 들려주세요.,
여행 중 찍었던 사진 중에 가장 애착이 가는 사진이 있다면 무엇이고 왜 그런가요?,
여행을 떠나기 전에 가장 기대했던 점과 실제 경험의 차이가 컸던 적이 있었나요?,
여행 중 계획에 없던 우연한 경험이 큰 행복이나 기쁨이 되었던 적이 있나요?,
과거 여행에서 만난 풍경이나 사람 중 아직도 문득 떠오르는 장면이 있나요?,
어린 시절 단짝 친구와 함께했던 특별한 추억은 어떤 것이었나요?,
오랫동안 연락하지 않다가 다시 만난 친구와의 만남은 어땠나요?,
결혼 생활에서 배우자에게 가장 고마웠던 순간은 언제였나요?,
나이가 들면서 인간관계에서 가장 중요하다고 느끼는 점은 무엇인가요?,
자녀가 처음 태어났을 때 느꼈던 감정을 기억하시나요?,
이웃과의 관계에서 가장 따뜻했던 경험을 말씀해주실 수 있나요?,
손주와 함께 지내면서 가장 행복했던 순간은 언제였나요?,
사회생활 중 만난 사람들 중 아직까지 소중하게 생각하는 사람은 누구인가요?,
젊은 시절 선생님이나 은사님과의 관계에서 특별히 기억나는 일화가 있나요?,
친구나 가족과의 갈등을 겪었을 때 어떻게 해결하셨는지 기억하시나요?,
힘든 시기에 주변 사람들에게 받은 가장 큰 위로는 무엇이었나요?,
인생에서 멘토나 조언자로 기억에 남는 사람이 있었나요?,
타인과의 관계에서 실수했던 경험과 그 이후의 변화에 대해 말씀해주실 수 있나요?,
부모님께서 주셨던 가르침이나 충고 중 지금까지 기억나는 것이 있나요?,
자녀들이 성장하면서 부모로서 가장 뿌듯했던 순간은 언제였나요?,
인간관계를 유지하기 위해 가장 중요하게 생각하는 가치나 습관이 있나요?,
어려운 시절 나를 도와주었던 특별한 사람에 대해 기억하시나요?,
지금껏 살아오면서 가장 고마웠던 사람과 그 이유는 무엇인가요?,
친구나 가족과 함께한 여행에서 가장 기억에 남는 일이 무엇인가요?,
사람과의 관계에서 배운 가장 소중한 인생의 교훈은 무엇인가요?,
가족이 모두 모였던 특별한 날 중 기억에 남는 장면은 무엇인가요?,
은퇴 이후 새롭게 만난 사람과의 관계에서 얻은 즐거운 경험이 있나요?,
오랜 인간관계에서 배신이나 실망을 겪었을 때 이를 극복한 방법은 무엇이었나요?,
주변 사람들에게 내가 주었던 도움 중 가장 기억에 남는 경험이 있나요?,
인생에서 후회되었던 인간관계의 순간이 있다면 어떤 것이었나요?,
지금까지 살아오면서 가장 소중하게 생각해온 인생의 가치는 무엇인가요?,
젊었을 때 중요하게 여겼던 것이 나이가 들면서 바뀐 경험이 있다면 무엇인가요?,
인생에서 가장 큰 영향을 준 사람과 그 이유는 무엇인가요?,
삶의 어려움을 이겨낼 때 힘이 되었던 나만의 믿음이나 신념이 있었나요?,
후손에게 꼭 전하고 싶은 삶의 지혜는 어떤 것인가요?,
"살아오면서 가장 후회했던 일이 무엇이며, 그로 인해 배운 교훈이 있나요?",
"인생에서 성공과 행복 중 어느 것을 더 중요하게 생각하시며, 그 이유는 무엇인가요?",
젊은 세대에게 전하고 싶은 인생의 조언이나 메시지는 어떤 것인가요?,
삶에서 겸손과 자존심의 균형을 어떻게 유지하셨나요?,
지금껏 경험한 일 중에서 인생관에 큰 변화를 준 사건이 있다면 무엇인가요?,
살아오면서 포기하지 않고 지켜온 원칙이나 습관이 있다면 무엇인가요?,
가장 행복했던 시기에 삶을 풍요롭게 만든 요소는 무엇이었나요?,
"과거 어려웠던 시절, 삶의 희망이나 힘이 되어주었던 대상이나 가치는 무엇인가요?",
삶에서 감사의 중요성을 느꼈던 특별한 순간은 언제였나요?,
시간이 지나면서 인생에서 가장 가치 있다고 느끼는 활동이나 취미는 무엇인가요?,
살아가면서 중요하게 생각했던 인간관계의 기준이나 가치는 무엇인가요?,
"돈과 명예, 그리고 건강 중에서 가장 중요하다고 느끼는 것은 무엇이고 그 이유는 무엇인가요?",
노년이 되면서 가장 뚜렷해진 삶의 목표나 소망이 있다면 무엇인가요?,
힘들었던 시절 삶의 방향을 잡게 해준 인생의 지침이나 가르침이 있다면 어떤 것인가요?,
행복한 삶을 위해 꼭 필요한 조건이 무엇이라고 생각하시나요?,
"삶을 살아가는 데 가장 큰 영향을 준 책이나 영화가 있다면 무엇이고, 그 이유는 무엇인가요?",
"내 인생에서 포기했지만, 지금 생각하면 지키고 싶었던 가치가 있나요?",
자녀나 손주들이 기억해주었으면 하는 나의 삶의 모습이나 신념은 무엇인가요?,
살아오면서 인생의 전환점이 되었던 가장 큰 깨달음은 어떤 것이었나요?,
"인생에서 사랑, 용서, 이해 중에서 가장 중요하게 느껴지는 것은 무엇이고, 그 이유는 무엇인가요?",
어릴 적 집에서 가족과 함께 했던 저녁 식사 풍경을 기억하시나요?,
젊었을 때 하루를 시작할 때 꼭 마시던 음료나 먹었던 음식이 있었나요?,
예전에 즐겨 보셨던 TV 프로그램이나 라디오 방송이 생각나시나요?,
매일 아침 꼭 하셨던 운동이나 산책이 있었나요?,
과거에 가장 자주 갔던 단골 가게나 시장이 생각나시나요?,
평소 하루를 마무리할 때 자주 듣던 노래나 음악이 있었나요?,
주말이나 휴일에 가족들과 함께 했던 특별한 습관이 있었나요?,
집 근처에서 자주 만났던 이웃의 이름이나 얼굴을 기억하시나요?,
젊었을 때 좋아하셨던 취미 활동이나 여가 생활이 있었나요?,
예전에 늘 쓰셨던 애장품이나 도구가 생각나시나요?,
가족들과 함께했던 특별한 명절이나 기념일의 일상이 기억나시나요?,
늘 다니던 산책길이나 공원의 모습이 기억에 남아 있으신가요?,
자주 쓰셨던 옷이나 즐겨 입었던 옷의 색깔과 모양을 떠올려 보시겠어요?,
가족이 함께했던 집안일 중 내가 자주 맡았던 역할이 무엇이었나요?,
젊은 시절 친구들과 자주 모이던 장소나 카페가 있었나요?,
"하루 중에 가장 기다려지던 시간이 언제였으며, 그때 뭘 하셨나요?",
평소에 자주 했던 집안의 청소나 정리 습관이 있으셨나요?,
젊었을 때 늘 가지고 다니던 물건이나 가방 속 물건들이 생각나시나요?,
아침에 늘 보았던 창밖의 풍경이 기억나시나요?,
늘 읽으시던 신문이나 잡지가 있었는지 기억나시나요?,
젊을 때 자주 다녔던 직장이나 일터의 하루 일과가 어땠는지 기억하시나요?,
하루 일과 중 차를 마시거나 휴식을 취할 때 앉던 장소는 어디였나요?,
가족이나 이웃과 늘 함께 했던 특별한 습관이나 놀이가 있었나요?,
계절마다 꼭 챙겨 하던 특별한 일이나 습관이 기억나시나요?,
매일 잠자리에 들기 전에 꼭 하셨던 일이나 습관이 있었나요?,
